		 x   		 Error_omp  	 Error_lsomp  	 Error_mp  		 Error_wmp  	 Error_thr
   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   5.4333333e-03   0.0000000e+00
   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   9.1866667e-03   7.2324167e-01
   3.0000000e+00   1.4000000e-04   1.4000000e-04   1.9433962e-04   1.3938333e-02   9.5710167e-01
   4.0000000e+00   6.2000000e-04   6.0000000e-04   1.2640525e-03   3.5520952e-02   9.6581667e-01
   5.0000000e+00   2.2434127e-03   2.1592857e-03   7.3532895e-03   1.1650107e-01   9.5890667e-01
   6.0000000e+00   7.2678500e-03   6.7817508e-03   3.1602656e-02   3.0121083e-01   9.5099583e-01
   7.0000000e+00   1.7167177e-02   1.5828798e-02   9.3229018e-02   5.2961583e-01   9.4303167e-01
   8.0000000e+00   3.3257226e-02   2.8806367e-02   1.9338914e-01   7.0967709e-01   9.3525667e-01
   9.0000000e+00   6.1110006e-02   5.1553072e-02   3.5009083e-01   8.1891236e-01   9.2744167e-01
   1.0000000e+01   1.0299118e-01   9.0452759e-02   5.0005485e-01   8.7719833e-01   9.1973583e-01
   1.1000000e+01   1.5253054e-01   1.3188314e-01   6.2223499e-01   9.0685804e-01   9.1204917e-01
   1.2000000e+01   2.3447510e-01   2.0412844e-01   7.1061527e-01   9.2590384e-01   9.0447000e-01
   1.3000000e+01   3.1547318e-01   2.8022136e-01   7.6249330e-01   9.3979123e-01   8.9681250e-01
   1.4000000e+01   4.0323909e-01   3.6057777e-01   7.8906473e-01   9.4848672e-01   8.8942000e-01
   1.5000000e+01   4.8599788e-01   4.4261198e-01   8.0083677e-01   9.5447624e-01   8.8203583e-01
