		 x   		 Pe_supp_omp 	 Pe_supp_lsomp 	 Pe_supp_mp 	 Pe_supp_wmp 	 Pe_supp_thr
   1.0000000e+00   7.6346958e-17   7.6346958e-17   1.9037792e-16   9.3860448e-03   1.9037792e-16
   2.0000000e+00   2.1354433e-16   2.1354433e-16   4.7403063e-01   4.7650069e-01   1.1367002e+00
   3.0000000e+00   2.2278580e-16   2.2280874e-16   7.0946962e-01   6.9538917e-01   1.5060903e+00
   4.0000000e+00   2.5170714e-16   2.5151648e-16   8.1260578e-01   7.9881507e-01   1.5313623e+00
   5.0000000e+00   2.6226543e-16   2.6213951e-16   8.6361954e-01   8.4737166e-01   1.5342449e+00
   6.0000000e+00   6.1908716e-04   1.2768232e-04   8.9683982e-01   8.6400069e-01   1.5338463e+00
   7.0000000e+00   2.3346472e-03   1.3025085e-03   9.1052053e-01   8.5857121e-01   1.5328036e+00
   8.0000000e+00   1.1150616e-02   4.2942021e-03   9.1653260e-01   8.7506791e-01   1.5324907e+00
   9.0000000e+00   2.6020050e-02   1.3730652e-02   9.1465614e-01   9.1306845e-01   1.5359924e+00
   1.0000000e+01   5.8084853e-02   3.9026509e-02   9.0754709e-01   9.4380352e-01   1.5346917e+00
   1.1000000e+01   1.0726475e-01   7.3853360e-02   9.0455097e-01   9.6249892e-01   1.5360248e+00
   1.2000000e+01   1.9941438e-01   1.5504358e-01   9.0393797e-01   9.7521605e-01   1.5361528e+00
   1.3000000e+01   3.0262681e-01   2.5173137e-01   9.0849266e-01   9.8477420e-01   1.5343828e+00
   1.4000000e+01   4.2597340e-01   3.6370544e-01   9.1497206e-01   9.9015586e-01   1.5331658e+00
   1.5000000e+01   5.5568243e-01   4.9603781e-01   9.2467558e-01   9.9446365e-01   1.5327790e+00
